Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,5,Weekday,0,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,1ST & FESS,39.15920668,-86.52587356
2015,1,6,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,2ND & COLLEGE,39.16144,-86.534848
2015,1,6,Weekend,2300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006
2015,1,7,Weekend,900,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,GATES & JACOBS,39.165655,-86.57595635
2015,1,7,Weekend,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,W 3RD,39.164848,-86.57962482
2015,1,6,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BURKS & WALNUT,39.12666969,-86.53136998
2015,1,6,Weekday,1200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SOUTH CURRY PIKE LOT 71,39.150825,-86.584899
2015,1,6,Weekday,1400,1-Car,Incapacitating,ENGINE FAILURE OR DEFECTIVE,NORTH LOUDEN RD,39.19927216,-86.63702393
2015,1,7,Weekend,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,LIBERTY & W 3RD,39.16461021,-86.57913007
2015,1,7,Weekend,1600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,PATTERSON & W 3RD,39.16344009,-86.55128002
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE BACKING,S LIBERTY,39.145264,-86.577616
2015,1,7,Weekend,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW & S HIGHLAND,39.136048,-86.518496
2015,1,7,Weekend,1700,1-Car,No injury/unknown,UNSAFE BACKING,E KIRKWOOD,39.16664,-86.53070106
2015,1,7,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,HEATHERWOOD & LEONARD SPRINGS,39.12678972,-86.58258006
2015,1,1,Weekend,1300,3+ Cars,Incapacitating,DISREGARD SIGNAL/REG SIGN,ROGERS & W PATTERSON,39.15379018,-86.53875008
2015,1,1,Weekend,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SOUTH WALNUT & SOUTH WALNUT STREET,39.107344,-86.5264
2015,1,1,Weekend,1800,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,17TH & MONROE,39.179248,-86.547104
2015,1,1,Weekend,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ARLINGTON & MONROE,39.179248,-86.547104
2015,1,1,Weekend,1600,2-Car,No injury/unknown,,NORTH GRANT,39.17830276,-86.52934265
2015,1,1,Weekend,1600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SOUTH LIBERTY,39.145264,-86.577616
2015,1,1,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,DILLMAN & SR37S,39.09571236,-86.54595204
2015,1,1,Weekend,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,RHORER & S WALNUT,39.12144,-86.526496
2015,1,2,Weekday,700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,446 & SR46E,39.16692661,-86.4572165
2015,1,1,Weekend,700,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,CHAPEL HILL & SR446S,39.02843027,-86.40780689
2015,1,2,Weekday,700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,3320 E RHORER & SNODDY,39.121584,-86.489744
2015,1,2,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & KINGSTON,39.16424,-86.49312041
2015,1,2,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST 10TH & NORTH UNION,39.17093258,-86.509391
2015,1,1,Weekday,2100,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,SOUTH CLARIZZ,39.15263367,-86.49272919
2015,1,2,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,COUNTRY CLUB & ROGERS,39.13608,-86.538096
2015,1,1,Weekday,2000,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,W SR 45,39.125312,-86.610496
2015,1,2,Weekday,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E GETTYS CREEK & E KERR CREK,39.17187028,-86.4167107
2015,1,2,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD & LIBERTY,39.16461021,-86.57913007
2015,1,2,Weekday,2100,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,SOUTH ROGERS & WEST GORDON PIKE,39.121648,-86.539088
2015,1,7,Weekend,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,INGRAM & SR37,38.992016,-86.537248
2015,1,3,Weekday,700,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,1025 W 7TH & N OAK,39.168656,-86.5468
2015,1,3,Weekday,1200,2-Car,Non-incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,DUNN & EAST 17TH,39.17900187,-86.52832631
2015,1,3,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,10TH & WOODLAWN,39.171632,-86.523536
2015,1,2,Weekday,2100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,GARDNER & GARRISON CHAPEL,39.134144,-86.642864
2015,1,7,Weekend,1800,Pedestrian,Incapacitating,PEDESTRIAN ACTION,COOLIDGE & ROCKPORT,39.14192595,-86.54314176
2015,1,3,Weekday,1900,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,HEADLEY & MATLOCK,39.19115236,-86.51175974
2015,1,2,Weekday,1500,2-Car,No injury/unknown,UNSAFE BACKING,WEST ROLL,39.14728113,-86.58089831
2015,1,2,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR46 & UNIONVALLEY,39.215152,-86.5928
2015,1,3,Weekday,1900,2-Car,No injury/unknown,IMPROPER TURNING,DEER PARK & SR46W,39.21210074,-86.58736299
2015,1,4,Weekday,0,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,DUNN & OLD STATE RD 37,39.208048,-86.528704
2015,1,4,Weekday,400,1-Car,Incapacitating,RAN OFF ROAD RIGHT,BREEDEN & SR45W,39.0881573,-86.66901213
